,abs_delta_arousal,abs_delta_arousal,abs_delta_arousal,abs_delta_valence,abs_delta_valence,abs_delta_valence,delta_affect_shift_mag,delta_affect_shift_mag,delta_affect_shift_mag,delta_arousal,delta_arousal,delta_arousal,delta_valence,delta_valence,delta_valence
perturbation,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap,deletion,mask,replacement_lowgap
original_post_id,,,,,,,,,,,,,,,
10220dw,0.04936974898911606,0.08331543004859876,0.029677387139204647,0.01981179884856843,0.06714230206938687,0.03471615633599345,0.05319661162954332,0.10700256824656007,0.045672298148389336,-0.04936974898911606,-0.08331543004859876,-0.029677387139204647,-0.01981179884856843,-0.06714230206938687,-0.03471615633599345
102acib,0.019251926089927096,0.014208730742369724,0.03173199958141737,0.1268089916366204,0.06354390652360475,0.11348404961947,0.12826206383053596,0.06511310225745492,0.11783696073588032,-0.019251926089927096,-0.014208730742369724,-0.03173199958141737,-0.1268089916366204,-0.06354390652360475,-0.11348404961947
102aotf,0.06803569928168596,0.1296183459784661,0.054399113106677,0.08822754776427466,0.04461875009773841,0.04943400783726837,0.11141344874495794,0.13708299848806113,0.07350499736513258,0.06803569928168596,0.1296183459784661,-0.054399113106677,0.08822754776427466,-0.04461875009773841,0.04943400783726837
102dqvm,0.005530326695675214,0.010720072983087192,0.10288663080475047,0.1834705707885318,0.18649956188615224,0.05833500965784122,0.18355390178045944,0.18680740496160597,0.1182735479730504,-0.005530326695675214,0.010720072983087192,-0.10288663080475047,-0.1834705707885318,-0.18649956188615224,-0.05833500965784122
1035dxu,0.010926540553104047,0.058151234580810396,0.035031495575588156,0.04723641199311679,0.0041224045763117445,0.060697830583662515,0.048483687013696625,0.05829717233934451,0.0700816118523643,-0.010926540553104047,-0.058151234580810396,-0.035031495575588156,0.04723641199311679,0.0041224045763117445,0.060697830583662515
1036bzy,0.021782462536433567,0.0025654122407412494,0.04045932040529587,0.07366798803153696,0.011482610277492533,0.06788882467248847,0.07682088345473387,0.011765699246101873,0.07903068469316377,0.021782462536433567,-0.0025654122407412494,-0.04045932040529587,0.07366798803153696,0.011482610277492533,0.06788882467248847
103cvah,0.04761732890095782,0.036612745203737695,0.20708898763923855,0.021271659678223642,0.01847832452053666,0.023174804953297823,0.05215259837369715,0.04101148117832473,0.20838166998579338,0.04761732890095782,0.036612745203737695,0.20708898763923855,0.021271659678223642,0.01847832452053666,0.023174804953297823
103fg7k,0.025743578726006966,0.017096179187624738,0.0490826436894678,0.20897256173359402,0.2792405818339798,0.13348653324085635,0.2105522818758393,0.2797634391513569,0.14222433149151906,0.025743578726006966,0.017096179187624738,-0.0490826436894678,-0.20897256173359402,-0.2792405818339798,-0.13348653324085635
103fxrr,0.01614956981106186,0.018200094344976048,0.10058176131514118,0.6304414522437138,0.5961130581298333,0.8318510792062073,0.6306482643377728,0.5963908294961183,0.837909845201611,-0.01614956981106186,-0.018200094344976048,0.10058176131514118,-0.6304414522437138,-0.5961130581298333,-0.8318510792062073
103gejx,0.060726322511145625,0.11743486522187396,0.0273191079179238,0.06284349843614923,0.12772297597011573,0.06880003863937834,0.08738988237446005,0.17350534908279475,0.07402552920588355,0.060726322511145625,0.11743486522187396,-0.0273191079179238,0.06284349843614923,0.12772297597011573,0.06880003863937834
103ggqy,0.027935356013666812,0.04766036425954123,0.03783297254913531,0.11144261263682509,0.13862355857271158,0.09482935058908915,0.11489055673523284,0.14658786209203734,0.10209769608101843,-0.027935356013666812,-0.04766036425954123,0.03783297254913531,0.11144261263682509,0.13862355857271158,0.09482935058908915
103krfu,0.03322943086164365,0.057683294940842345,0.006866766033050364,0.10851305859210925,0.165395249530075,0.16341609620728637,0.11348691096511214,0.17516549626666772,0.1635603037884857,-0.03322943086164365,-0.057683294940842345,0.006866766033050364,-0.10851305859210925,-0.165395249530075,-0.16341609620728637
103lx4p,0.04939794026227684,0.13403556065676803,0.06645454311357657,0.1310370461460053,0.16190660950506341,0.1557822450246995,0.1400387944993308,0.2101886812414009,0.16936444185651756,-0.04939794026227684,-0.13403556065676803,-0.06645454311357657,-0.1310370461460053,-0.16190660950506341,-0.1557822450246995
103nk9c,0.14379544794092958,0.06332142033423782,0.2113785052810382,0.021244012680322832,0.07540916451760271,0.05979001003574247,0.14535624831184352,0.09846900205845542,0.2196718411515688,-0.14379544794092958,-0.06332142033423782,-0.2113785052810382,0.021244012680322832,0.07540916451760271,0.05979001003574247
103tyvf,0.13224486502398847,0.04247394204330668,0.05646967345305853,0.1607482990126745,0.07390277108193333,0.10688556746399813,0.20815551868898682,0.0852388134964748,0.12088568381738163,0.13224486502398847,0.04247394204330668,0.05646967345305853,0.1607482990126745,0.07390277108193333,0.10688556746399813
103zhv1,0.07428672611220222,0.06638215881904586,0.13510423934990357,0.11788216059060641,0.0962336682791598,0.1917945431645638,0.13933671971874056,0.1169081259790798,0.23460243451000196,-0.07428672611220222,0.06638215881904586,-0.13510423934990357,-0.11788216059060641,-0.0962336682791598,-0.1917945431645638
