strata_col,strata_level,metric,comparison,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,wilcoxon_stat,p_value
selected_hit_count,2,abs_delta_arousal,mask vs replacement_lowgap,1487,0.09403493003905915,0.09312773961820627,0.0009071904208528892,531217.0,0.18510591559768985
selected_hit_count,2,abs_delta_arousal,mask vs deletion,1487,0.09403493003905915,0.09159184259662484,0.0024430874424343227,523873.0,0.0769540104136311
selected_hit_count,2,abs_delta_arousal,replacement_lowgap vs deletion,1487,0.09312773961820627,0.09159184259662484,0.0015358970215814333,536737.0,0.3212512642352463
selected_hit_count,2,delta_affect_shift_mag,mask vs replacement_lowgap,1487,0.1555407533345456,0.17261750555496908,-0.017076752220423475,471849.0,9.1106010804373e-07
selected_hit_count,2,delta_affect_shift_mag,mask vs deletion,1487,0.1555407533345456,0.14372126291153609,0.011819490423009513,431957.0,2.5041788195134747e-13
selected_hit_count,2,delta_affect_shift_mag,replacement_lowgap vs deletion,1487,0.17261750555496908,0.14372126291153609,0.028896242643432987,391914.0,2.1059123854864255e-22
selected_hit_count,3,abs_delta_valence,mask vs replacement_lowgap,553,0.1428700050011604,0.17172532820447223,-0.028855323203311842,62866.0,0.00026122926995448506
selected_hit_count,3,abs_delta_valence,mask vs deletion,553,0.1428700050011604,0.12636398139559943,0.016506023605560964,57309.0,2.9087486782910627e-07
selected_hit_count,3,abs_delta_valence,replacement_lowgap vs deletion,553,0.17172532820447223,0.12636398139559943,0.0453613468088728,50289.0,2.6201258697121414e-12
selected_hit_count,3,abs_delta_arousal,mask vs replacement_lowgap,553,0.12492089377118543,0.11716767503198099,0.00775321873920446,67206.0,0.01254380036301871
selected_hit_count,3,abs_delta_arousal,mask vs deletion,553,0.12492089377118543,0.12388523615547267,0.0010356576157127418,74476.0,0.5737758208996186
selected_hit_count,3,abs_delta_arousal,replacement_lowgap vs deletion,553,0.11716767503198099,0.12388523615547267,-0.006717561123491717,67488.0,0.015458834686942566
selected_hit_count,3,delta_affect_shift_mag,mask vs replacement_lowgap,553,0.21200669180257667,0.2291725610791387,-0.01716586927656204,69804.0,0.07102070657484867
selected_hit_count,3,delta_affect_shift_mag,mask vs deletion,553,0.21200669180257667,0.1983986135350199,0.01360807826755678,60898.0,2.9861557127364978e-05
selected_hit_count,3,delta_affect_shift_mag,replacement_lowgap vs deletion,553,0.2291725610791387,0.1983986135350199,0.03077394754411882,60457.0,1.7720309162096748e-05
selected_hit_count,4,abs_delta_valence,mask vs replacement_lowgap,207,0.16740227710177677,0.21210369243300106,-0.044701415331224306,8470.0,0.00784586739878858
selected_hit_count,4,abs_delta_valence,mask vs deletion,207,0.16740227710177677,0.17081975592708443,-0.003417478825307627,9915.0,0.32514073388633014
selected_hit_count,4,abs_delta_valence,replacement_lowgap vs deletion,207,0.21210369243300106,0.17081975592708443,0.04128393650591667,8259.0,0.003694058058831982
selected_hit_count,4,abs_delta_arousal,mask vs replacement_lowgap,207,0.1412865772191847,0.15086713738660654,-0.009580560167421853,10348.0,0.6297184042811839
selected_hit_count,4,abs_delta_arousal,mask vs deletion,207,0.1412865772191847,0.14279433825422036,-0.001507761035035686,10700.0,0.940872884261029
selected_hit_count,4,abs_delta_arousal,replacement_lowgap vs deletion,207,0.15086713738660654,0.14279433825422036,0.008072799132386167,10631.0,0.8774990646498189
selected_hit_count,4,delta_affect_shift_mag,mask vs replacement_lowgap,207,0.24613906589107765,0.29154318240964505,-0.04540411651856738,8260.0,0.0037077550059644382
selected_hit_count,4,delta_affect_shift_mag,mask vs deletion,207,0.24613906589107765,0.25097196483087464,-0.004832898939796961,9991.0,0.3703230439538254
selected_hit_count,4,delta_affect_shift_mag,replacement_lowgap vs deletion,207,0.29154318240964505,0.25097196483087464,0.04057121757877043,8741.0,0.019049748280526326
selected_hit_count,5,abs_delta_valence,mask vs replacement_lowgap,91,0.1741216930631874,0.216593507342886,-0.04247181427969856,1474.0,0.014287852884807214
selected_hit_count,5,abs_delta_valence,mask vs deletion,91,0.1741216930631874,0.1784853071036853,-0.004363614040497884,1841.0,0.31857413202240703
selected_hit_count,5,abs_delta_valence,replacement_lowgap vs deletion,91,0.216593507342886,0.1784853071036853,0.03810820023920067,1422.0,0.00791311121052933
selected_hit_count,5,abs_delta_arousal,mask vs replacement_lowgap,91,0.1738640661603821,0.1947535657809072,-0.02088949962052507,1984.0,0.6661690116824539
selected_hit_count,5,abs_delta_arousal,mask vs deletion,91,0.1738640661603821,0.17112346877523898,0.002740597385143154,1978.0,0.6489947248812183
selected_hit_count,5,abs_delta_arousal,replacement_lowgap vs deletion,91,0.1947535657809072,0.17112346877523898,0.023630097005668226,2063.0,0.9054835815489056
selected_hit_count,5,delta_affect_shift_mag,mask vs replacement_lowgap,91,0.27527235392833677,0.3289716908313362,-0.05369933690299947,1541.0,0.028906150126340423
selected_hit_count,5,delta_affect_shift_mag,mask vs deletion,91,0.27527235392833677,0.2785512728410698,-0.0032789189127330723,1878.0,0.3947972550924089
selected_hit_count,5,delta_affect_shift_mag,replacement_lowgap vs deletion,91,0.3289716908313362,0.2785512728410698,0.0504204179902664,1584.0,0.043949292412941446
selected_hit_count,6,abs_delta_valence,mask vs replacement_lowgap,45,0.19975895770212634,0.2705253065192552,-0.07076634881712883,344.0,0.050202054313672306
selected_hit_count,6,abs_delta_valence,mask vs deletion,45,0.19975895770212634,0.23297042026956596,-0.03321146256743966,403.0,0.20021900919505242
selected_hit_count,6,abs_delta_valence,replacement_lowgap vs deletion,45,0.2705253065192552,0.23297042026956596,0.03755488624968918,389.0,0.1497779752334054
selected_hit_count,6,abs_delta_arousal,mask vs replacement_lowgap,45,0.1842580064028765,0.2156625721323939,-0.031404565729517414,404.0,0.20423811322626761
selected_hit_count,6,abs_delta_arousal,mask vs deletion,45,0.1842580064028765,0.16424812672210123,0.020009879680775274,486.0,0.7289109178315698
selected_hit_count,6,abs_delta_arousal,replacement_lowgap vs deletion,45,0.2156625721323939,0.16424812672210123,0.05141444541029269,332.0,0.035895520372037026
